epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.251,1.74261,4.30917,3.12096,2.04942,0.00192,0.95,0.1527,0.07218,0.00172,0.85,0.1503,0.05508,1.05747,2.0391,5.31684,1.14623,0.00022,0.00022,0.00022
2,452.236,1.46742,2.93056,2.37357,1.62492,0.00152,0.75,0.17086,0.05666,0.00131,0.65,0.15299,0.04762,1.21009,2.14323,5.19312,1.28551,0.00043723,0.00043723,0.00043723
3,721.042,1.43727,2.71074,2.30042,1.61969,0.00202,1,0.2736,0.08119,0.00162,0.8,0.14786,0.05183,0.92923,2.47778,5.13397,1.14503,0.0006307,0.0006307,0.0006307
4,960.629,1.46073,2.48018,2.00127,1.57076,0.34821,0.2,0.17916,0.05799,0.34821,0.2,0.15322,0.05599,0.9751,2.81819,4.87439,1.16265,0.00080041,0.00080041,0.00080041
5,1170.72,1.46999,2.61681,2.09709,1.65771,0.46545,0.1,0.10981,0.04919,0.46545,0.1,0.09739,0.04598,1.13076,3.68763,7.71411,1.57229,0.00094636,0.00094636,0.00094636
6,1372.67,1.41024,2.56201,2.04394,1.54362,0.06542,0.15,0.04718,0.01619,0.42177,0.05,0.04496,0.00955,1.24131,3.82922,4.82019,1.55962,0.00106855,0.00106855,0.00106855
7,1609.08,1.49017,2.64598,2.02066,1.68248,0.1387,0.2,0.11688,0.03598,0.32341,0.2,0.13586,0.0541,1.27789,3.91587,10.4832,1.55809,0.00116698,0.00116698,0.00116698
8,1843.33,1.43653,2.6139,1.86998,1.56285,0.33958,0.2,0.18914,0.04929,0.21384,0.31313,0.19372,0.06289,1.22066,2.66255,9.66959,1.45076,0.00124165,0.00124165,0.00124165
9,2045.9,1.46935,2.51056,1.83866,1.59319,0.18013,0.4,0.12414,0.0449,0.25816,0.35,0.13185,0.03074,1.10419,3.09328,6.29848,1.40508,0.001208,0.001208,0.001208
10,2225.15,1.37642,2.44248,1.6473,1.5265,0.2193,0.4,0.14332,0.05322,0.23927,0.45,0.14543,0.06308,1.12109,2.63135,12.2681,1.31619,0.001109,0.001109,0.001109
11,2420.24,1.55476,2.38595,2.28122,1.79456,0.35702,0.5,0.28118,0.12221,0.23675,0.35,0.16452,0.05032,1.05174,3.30119,5.02958,1.23774,0.00101,0.00101,0.00101
12,2646.98,1.38261,2.29964,1.93677,1.69007,0.30495,0.6,0.29157,0.15438,0.36851,0.4,0.26402,0.11706,1.00085,2.26381,8.96687,1.17024,0.000911,0.000911,0.000911
13,2930.76,1.35663,2.29478,1.91421,1.59892,0.35199,0.45,0.27733,0.11614,0.35591,0.45,0.27228,0.12341,0.93932,1.84988,9.13422,1.13916,0.000812,0.000812,0.000812
14,3172.22,1.34005,2.21316,1.82178,1.62919,0.38294,0.75,0.36372,0.19293,0.40652,0.75,0.37487,0.16332,0.90555,1.76033,6.23773,1.02902,0.000713,0.000713,0.000713
15,3346.05,1.31413,2.36847,1.69065,1.6062,0.40264,0.74162,0.42292,0.22924,0.45686,0.50487,0.40387,0.20873,0.93257,1.74765,5.48145,0.98746,0.000614,0.000614,0.000614
16,3543.34,1.26527,2.25414,1.61245,1.54878,0.36384,0.7,0.33419,0.18754,0.39028,0.75,0.35414,0.17664,0.83945,1.67573,5.89548,0.96475,0.000515,0.000515,0.000515
17,3741.48,1.14191,2.07446,1.81326,1.4334,0.48545,0.5,0.36024,0.18175,0.48545,0.5,0.34487,0.19032,0.83772,1.58261,5.41089,0.96493,0.000416,0.000416,0.000416
18,3992.92,1.16438,2.03964,1.53081,1.53976,0.46725,0.65,0.36794,0.18689,0.46725,0.65,0.36101,0.18687,0.87189,1.58366,5.11941,0.95378,0.000317,0.000317,0.000317
19,4186.98,1.44182,2.91331,1.6976,1.79547,0.49539,0.65,0.35964,0.1762,0.49539,0.65,0.3549,0.18282,0.85038,1.56413,5.03961,0.95182,0.000218,0.000218,0.000218
20,4371.96,1.11567,1.94216,1.40594,1.39621,0.49766,0.65,0.35217,0.17757,0.49766,0.65,0.34342,0.18183,0.82484,1.52512,4.82552,0.93817,0.000119,0.000119,0.000119
